00_no	01_tstop	10_spa_pol_dif	11_spa_pol_tes	20_ang_seg_dif	21_ang_seg_tes	30_len_seg_dif	31_len_seg_tes	22_course_seg1	23_course_seg2	32_len_seg1	33_len_seg2
0	0.0	5.511605279531963	1	nan	nan	nan	nan	nan	nan	nan	nan
1	10.0	6.838840981689385	1	nan	nan	1.4007267098175318	0	223.662074975	77.8897393668	0.7770389303206573	2.177765640138189
2	20.0	6.131170778282259	0	164.7897193518	0	0.6779218946133092	0	147.5883118936	-47.621968754600005	3.9271423527523797	3.2492204581390705
3	30.0	3.6295793119117548	0	153.23538056100003	0	0.8706639618492285	0	9.883786493999992	163.11916705500002	0.8388566638504635	1.709520625699692
4	40.0	5.24200286568283	1	44.19072628300003	0	3.9727608013639077	0	-18.777015226999993	-62.967741510000025	0.8242126305540449	4.7969734319179524
5	50.0	1.5761918278308356	0	148.86528379919997	0	2.4815400896795192	0	53.11391558979999	-158.02080061100003	5.747157815932648	3.265617726253129
6	60.0	0.8449292600628675	0	125.61853399120999	0	0.9144896783851173	0	-59.276632990999985	66.34190100021	0.5235372760235217	1.438026954408639
7	70.0	6.0702700690756135	0	170.45138298645	0	1.0418946110297655	0	-173.870001127	-3.418618140549995	3.520844095420636	2.4789494843908706
8	80.0	12.226679039276421	1	3.5835120669999867	0	2.341270273124522	0	-57.545795102	-53.96228303500001	2.412929575196812	4.754199848321334
9	90.0	10.047848832337825	1	67.85186860100004	0	1.268090176202651	0	-123.79997452999999	168.34815686899998	0.543856327440773	1.811946503643424
10	100.0	1.2762801178234944	0	66.10619759000002	0	1.324214922033966	0	-36.16991892500002	29.936278665000003	4.849655764008953	6.173870686042919
11	110.0	3.2730869472180966	0	97.499049842	0	0.9169376623740595	0	178.69288386	81.19383401799999	2.3454718852070924	3.262409547581152
12	140.0	9.354172190939595	1	126.22849182530001	0	5.034430507334813	0	-57.4366833121	176.3348248626	13.47711723722411	8.442686729889298
13	150.0	13.128304782497606	0	19.099309253999962	0	0.8423453233785612	0	-118.03673895400001	-137.13604820799998	8.35996048913475	9.20230581251331
14	160.0	9.425844122815437	0	36.994867666999966	0	5.403494138772406	0	-24.01522115999998	12.979646506999984	9.401292098319214	3.9977979595468076
15	170.0	8.146722956940526	0	2.2280704740000488	0	2.783036624958121	0	-4.4453634429999624	-6.673433917000011	8.516682430163328	5.7336458052052075
16	180.0	7.804026042011393	0	21.174431736999992	0	8.532228436274398	0	-29.76349262100001	-50.937924358000004	14.704734059820497	6.172505623546099
17	190.0	11.006049868754095	1	45.0026487865	0	3.2471226536735873	0	-4.922389919000011	-49.925038705500015	4.961186132103543	1.7140634784299553
18	200.0	2.1688105007678047	0	26.443276570900025	0	8.557310840585092	0	96.8553972931	123.29867386400002	2.064994302569347	10.62230514315444
19	210.0	4.212861928776948	0	10.460040622099996	0	0.6907039919969424	0	41.07937156769998	30.619330945599984	5.831743792614043	5.141039800617101
20	220.0	2.1974118481800446	0	45.9248527964	0	4.976958108017754	0	10.9037597743	56.8286125707	7.370443726644472	12.347401834662225
21	230.0	3.1844879568040416	0	34.74311465520003	0	3.525818974894486	0	2.9443571447999943	37.687471800000026	6.971278051791999	3.445459076897513
22	240.0	7.351643112843208	0	9.378071741600024	0	6.754391509588386	0	13.715703594399997	23.09377533600002	3.385607130947291	10.139998640535676
23	250.0	8.855091610231327	0	95.68863342419999	0	2.3175812167798195	0	-128.260965411	-32.57233198680001	0.340295646051904	2.6578768628317238
24	260.0	2.317668515550227	0	113.12234607299999	0	5.2927492796544	0	173.08999029900002	-73.78766362799999	6.450794212952311	1.1580449332979108
25	270.0	5.506070129351344	0	160.84953025151995	0	3.9754954217530756	0	-103.49569039131995	57.3538398602	1.7529272313229944	5.72842265307607
26	280.0	11.96199835738572	1	0.5367814723300057	0	3.814139280977061	0	-2.8003327079300107	-2.263551235600005	4.575130992187644	8.389270273164705
27	290.0	13.035614551340469	1	30.39412961865	0	2.1741586874388275	0	-7.895310590999998	-38.289440209649996	4.187165313942274	2.0130066265034467
28	300.0	13.150812771318336	1	1.387087268800002	0	0.21490696451135005	0	32.68396174829999	31.29687447949999	0.8643057621668402	0.6493987976554901
29	310.0	16.731280176118577	1	171.290712707398	0	6.31630368062216	0	-28.123117447397988	143.16759526	7.261574114396675	0.9452704337745147
30	320.0	17.611086240519946	1	132.504217589	0	3.150957065360041	0	-0.5547716250000008	131.949445964	10.798693550670473	7.647736485310432
31	330.0	5.040752658015366	0	5.974757564200019	0	19.75759192550258	1	38.682322763200006	32.70756519899999	4.977158633217887	24.734750558720467
32	340.0	5.155580301156969	0	1.4655278619999876	0	5.864673404333482	0	31.242037337	32.70756519899999	5.864673404333482	0.0
33	400.0	0.8004481652833396	0	107.92343301400004	0	5.652498937370652	0	-116.12344805199999	135.95311893399997	25.445132914821304	19.792633977450652
34	410.0	4.351940165754866	0	18.696732064000003	0	3.1611037737482865	0	178.24022436500002	159.54349230100001	4.96832155868666	8.129425332434947
35	420.0	9.824083778859928	0	10.943527690999986	0	5.784030706709505	0	3.0131432940000025	13.956670984999988	8.49391969737266	14.277950404082164
36	430.0	7.677754573202039	0	8.900421767999944	0	1.9476358149957314	0	-11.022777272999974	-2.12235550500003	13.705492229744458	11.757856414748726
