00_no	01_tstop	10_spa_pol_dif	11_spa_pol_tes	20_ang_seg_dif	21_ang_seg_tes	30_len_seg_dif	31_len_seg_tes	22_course_seg1	23_course_seg2	32_len_seg1	33_len_seg2
0	0.0	5.5116052791749235	1	nan	nan	nan	nan	nan	nan	nan	nan
1	10.0	6.838840981328586	1	nan	nan	1.4007267096809353	0	223.662074975	77.8897393654	0.7770389303206573	2.1777656400015926
2	20.0	6.131170777853502	0	164.78971935279998	0	0.6779218946827794	0	147.5883118936	-47.621968753600015	3.9271423527523797	3.2492204580696002
3	30.0	3.6295793118554847	0	153.23538056	0	0.8706639614679756	0	9.883786493999992	163.119167054	0.8388566638504635	1.7095206253184392
4	40.0	5.24200286568283	1	44.19072628300003	0	3.972760801419131	0	-18.777015226999993	-62.967741510000025	0.8242126305540449	4.796973431973176
5	50.0	1.00981254598451	0	171.65785309219996	0	1.736665469345188	0	53.11391558979999	-135.22823131800004	5.747157815932648	4.01049234658746
6	60.0	1.1105263534761594	0	96.84087854600003	0	0.30804018433407554	0	-59.276632990999985	37.56424555500004	0.5235372760235217	0.8315774603575973
7	70.0	6.070270069389073	0	168.99545201699996	0	2.003487926921679	0	-173.870001127	-4.874549110000032	3.520844095420636	1.517356168498957
8	80.0	12.226679039144893	1	11.077679098999994	0	2.341270272766179	0	-57.545795102	-46.468116003000006	2.412929575196812	4.754199847962991
9	90.0	10.047848832446258	1	67.851868604	0	1.2680901760465364	0	-123.79997452999999	168.348156866	0.543856327440773	1.8119465034873092
10	100.0	1.2762801177920793	0	66.106197597	0	1.3242149220863713	0	-36.16991892500002	29.936278671999986	4.849655764008953	6.1738706860953245
11	110.0	3.2730869472180966	0	97.499049843	0	0.9169376623742829	0	178.69288386	81.193834017	2.3454718852070924	3.2624095475813752
12	140.0	9.354170061353008	1	126.2284864307	0	5.034428384472861	0	-57.4366833121	176.3348302572	13.47711723722411	8.44268885275125
13	150.0	13.128304782621672	0	19.099319923999985	0	0.8423474179951427	0	-118.03673895400001	-137.136058878	8.35996048913475	9.202307907129892
14	160.0	9.425844122876574	0	36.99487307499999	0	5.4034941385511495	0	-24.01522115999998	12.979651915000005	9.401292098319214	3.997797959768065
15	170.0	8.146722956925936	0	2.2280704790000527	0	2.7830366248818414	0	-4.4453634429999624	-6.673433922000015	8.516682430163328	5.733645805281487
16	180.0	7.804026042369257	1	21.174431743000014	0	8.532228436266173	0	-29.76349262100001	-50.937924364000025	14.704734059820497	6.172505623554323
17	190.0	11.006049869086121	1	45.002648785199995	0	3.2471226538171356	0	-4.922389919000011	-49.925038704200006	4.961186132103543	1.7140634782864073
18	200.0	1.3746171609236177	0	36.05830846591999	0	9.924064598888435	0	96.8553972931	132.91370575902	2.064994302569347	11.989058901457783
19	210.0	3.934552795609692	0	11.71245966319998	0	1.570718828892769	0	41.07937156769998	29.3669119045	5.831743792614043	7.402462621506812
20	220.0	4.542293375448131	0	43.499348257299985	0	3.042024501640726	0	10.9037597743	54.403108031599984	7.370443726644472	10.412468228285197
21	230.0	2.051729175044187	0	46.83782223719999	0	3.4759952602927453	0	2.9443571447999943	49.78217938199998	6.971278051791999	3.4952827914992537
22	240.0	6.409239079304716	0	21.738931774399987	0	7.53817358278684	0	13.715703594399997	-8.02322817999999	3.385607130947291	10.92378071373413
23	250.0	9.129680526254326	0	123.84698364340002	0	2.2191396705905078	0	-128.260965411	-4.413981767599978	0.340295646051904	2.559435316642412
24	260.0	2.339247191624865	0	76.14666770299999	0	5.57677805336703	0	173.08999029900002	-110.76334199799999	6.450794212952311	0.8740161595852812
25	270.0	6.851850042922681	0	175.02921985828004	0	3.591932227244114	0	-103.49569039131995	81.47508975039999	1.7529272313229944	5.344859458567108
26	280.0	12.164006150207465	1	2.9391504549300294	0	2.0648595891054295	0	-2.8003327079300107	0.1388177470000187	4.575130992187644	6.639990581293073
27	290.0	13.454386649261023	1	29.552107753220014	0	1.8372486335000597	0	-7.895310590999998	-37.44741834422001	4.187165313942274	2.3499166804422145
28	300.0	13.859652428872266	1	3.610967997399996	0	0.19392855218304317	0	32.68396174829999	29.072993750899997	0.8643057621668402	1.0582343143498834
29	310.0	16.767688219519165	1	174.142259870398	0	6.233789717415125	0	-28.123117447397988	146.019142423	7.261574114396675	1.0277843969815494
30	320.0	17.611086240519946	1	117.03496519119	0	3.2612440517185215	0	-0.5547716250000008	116.48019356619	10.798693550670473	7.537449498951951
31	330.0	5.040752658289027	0	2.544053874799971	0	19.75759192567828	1	38.682322763200006	41.22637663799998	4.977158633217887	24.734750558896167
32	340.0	5.155580301065368	0	9.984339300999977	0	5.864673404333482	0	31.242037337	41.22637663799998	5.864673404333482	0.0
33	400.0	0.8004481655902393	0	107.923433013	0	5.652498937248698	0	-116.12344805199999	135.95311893500002	25.445132914821304	19.792633977572606
34	410.0	4.351940165435732	0	18.69673205700002	0	3.1611037735221545	0	178.24022436500002	159.543492308	4.96832155868666	8.129425332208815
35	420.0	9.948405242110494	0	12.033759408999998	0	6.000221749808791	0	3.0131432940000025	15.046902703	8.49391969737266	14.49414144718145
36	430.0	7.931860361530049	0	8.623354901999988	0	1.8347174021789225	0	-11.022777272999974	-2.399422370999986	13.705492229744458	11.870774827565535
