00_no	01_tstop	10_spa_pol_dif	11_spa_pol_tes	20_ang_seg_dif	21_ang_seg_tes	30_len_seg_dif	31_len_seg_tes	22_course_seg1	23_course_seg2	32_len_seg1	33_len_seg2
0	0.0	5.147335987865811	1	nan	nan	nan	nan	nan	nan	nan	nan
1	10.0	7.001796297776876	1	nan	nan	0.8161605556976237	0	285.020779667	77.8897393668	1.3616050844405654	2.177765640138189
2	20.0	6.180885121950783	0	170.8737504743	0	0.8169389443031663	0	123.2517817197	-47.621968754600005	4.066159402442237	3.2492204581390705
3	30.0	3.6295793117047612	0	107.51717069760001	0	0.10955290035458876	0	55.60199635740001	163.11916705500002	1.5999677253451032	1.709520625699692
4	40.0	6.05879741900248	1	44.17952569899998	0	3.2576549669195893	0	-107.147267209	-62.967741510000025	1.5393184649983633	4.7969734319179524
5	50.0	1.7415656577726388	0	128.1894056311	0	2.268528508410825	0	73.7897937579	-158.02080061100003	5.534146234663954	3.265617726253129
6	60.0	1.844676598606582	0	121.52303708421003	0	0.4181906412225278	0	-55.18113608400003	66.34190100021	1.0198363131861112	1.438026954408639
7	70.0	4.279312576519637	0	169.57978479745	0	0.5634312162525004	0	-172.998402938	-3.418618140549995	3.042380700643371	2.4789494843908706
8	80.0	10.420166527988895	1	0.3203270580000037	0	1.1931318970300886	0	-53.64195597700001	-53.96228303500001	3.5610679512912453	4.754199848321334
9	90.0	10.047848832278254	1	131.86955184599998	0	0.5152240277856344	0	36.478605023	168.34815686899998	1.2967224758577895	1.811946503643424
10	100.0	1.2762801180582506	0	136.81216016100004	0	1.3242149218765586	0	166.74843882600004	29.936278665000003	4.849655764166361	6.173870686042919
11	110.0	3.273086947537739	0	97.499049834	0	0.9169376621976415	0	178.692883852	81.19383401799999	2.3454718853835104	3.262409547581152
12	140.0	7.245047560420097	0	83.62200246513999	0	4.607145186755483	0	-100.04317267226003	176.3348248626	13.04983191664478	8.442686729889298
13	150.0	12.560642580410194	1	60.78478591800001	0	2.012539441696169	0	-76.35126228999997	-137.13604820799998	7.189766370817142	9.20230581251331
14	160.0	12.108345013568501	1	38.47645675299998	0	6.083226572072774	0	-25.496810245999995	12.979646506999984	10.081024531619581	3.9977979595468076
15	170.0	10.37200355550302	0	12.36084734000002	0	0.593301079627512	0	-19.034281257000032	-6.673433917000011	6.3269468848327195	5.7336458052052075
16	180.0	9.760157963550341	1	24.981723288000012	0	6.820385389370502	0	-25.95620106999999	-50.937924358000004	12.992891012916601	6.172505623546099
17	190.0	12.255443736429683	1	51.72246596050002	0	2.7643771915392517	0	1.7974272550000023	-49.925038705500015	4.478440669969207	1.7140634784299553
18	200.0	2.8166586898529364	0	5.014320686400026	0	8.970256848963192	0	118.2843531776	123.29867386400002	1.6520482941912484	10.62230514315444
19	210.0	4.317262503550316	0	10.402130062299989	0	1.0999699292280134	0	20.217200883299995	30.619330945599984	6.241009729845114	5.141039800617101
20	220.0	0.5117445575146169	0	43.44305017320001	0	4.812153764741921	0	13.385562397499996	56.8286125707	7.535248069920304	12.347401834662225
21	230.0	4.286938559387266	0	35.71081082520004	0	3.477117171282833	0	1.9766609747999837	37.687471800000026	6.922576248180346	3.445459076897513
22	240.0	10.880075602484284	1	18.22305165710003	0	6.760047627317841	0	4.870723678899992	23.09377533600002	3.379951013217835	10.139998640535676
23	250.0	11.132662386745043	1	121.46570835480003	0	1.8680623467544755	0	88.89337636800002	-32.57233198680001	0.7898145160772484	2.6578768628317238
24	260.0	4.921684263271691	1	43.634523089	0	5.061626235608191	0	-30.153140538999992	-73.78766362799999	6.219671168906102	1.1580449332979108
25	270.0	6.851086907086009	1	141.5242682538	0	4.6249443502195415	0	-84.17042839359999	57.3538398602	1.1034783028565278	5.72842265307607
26	280.0	12.831475524232411	1	17.067765538829974	0	4.103901782226309	0	-19.33131677442998	-2.263551235600005	4.285368490938396	8.389270273164705
27	290.0	14.33632677773105	1	24.56894106765	0	2.434469143428433	0	-13.720499141999994	-38.289440209649996	4.44747576993188	2.0130066265034467
28	300.0	14.639017978535502	1	7.025340145099989	0	0.0499843	0	24.271534334400002	31.29687447949999	0.6993831008881712	0.6493987976554901
29	310.0	17.250684582501528	1	155.07001482423001	0	5.050831115675123	0	-11.902419564230001	143.16759526	5.996101549449638	0.9452704337745147
30	320.0	16.594665272278135	1	134.52775358138	0	1.9399778121696816	0	-2.5783076173800055	131.949445964	9.587714297480114	7.647736485310432
31	330.0	6.882312663949162	0	7.592801823200034	0	20.31993120750107	1	40.30036702220002	32.70756519899999	4.414819351219395	24.734750558720467
32	340.0	7.262612038231281	0	5.394274164300015	0	5.51389764314098	0	38.1018393633	32.70756519899999	5.51389764314098	0.0
33	400.0	0.8004481652833396	0	100.71226384900001	0	7.783094502805071	0	-123.33461721700002	135.95311893399997	27.575728480255723	19.792633977450652
34	410.0	6.402585336057916	0	39.44427154300001	0	0.7435476181987113	0	-161.012236156	159.54349230100001	8.872972950633658	8.129425332434947
35	420.0	9.362751315477693	0	36.148483113	0	5.849897895379074	0	-22.19181212800001	13.956670984999988	8.42805250870309	14.277950404082164
36	430.0	5.838919005756956	0	18.787727184999994	0	1.9773418458271266	0	-20.910082690000024	-2.12235550500003	13.735198260575853	11.757856414748726
