00_no	01_tstop	10_spa_pol_dif	11_spa_pol_tes	20_ang_seg_dif	21_ang_seg_tes	30_len_seg_dif	31_len_seg_tes	22_course_seg1	23_course_seg2	32_len_seg1	33_len_seg2
0	0.0	0.06950468110321331	0	nan	nan	nan	nan	nan	nan	nan	nan
1	10.0	0.07012239182561895	0	nan	nan	0.	0	273.743775125	273.149982677	0.5238885648671224	0.5238885648601654
2	20.0	0.12965232767905435	0	0.	0	0.	0	139.00062497750002	139.0006249778	4.4390170905897985	4.439017090586511
3	30.0	0.14617923464677537	0	0.	0	0.	0	44.63274003309999	44.63274003229998	2.1924434711123775	2.1924434710977447
4	40.0	0.16702373999377892	0	0.	0	0.	0	-76.27212559900002	-76.272125598	1.2697772061265127	1.2697772061747379
5	50.0	0.2613763607482359	0	0.	0	0.	0	48.33596726459999	48.33596726339999	6.10989037717161	6.109890377109275
6	60.0	0.28930393757442735	0	0.	0	0.	0	28.536529299199998	28.53652929750001	2.361571050429561	2.3615710504797334
7	70.0	0.265656369681836	0	0.	0	0.	0	77.79573930800001	77.79573931	3.3378718721186993	3.337871872130717
8	80.0	0.27857032946795574	0	0.	0	0.	0	-38.121318621800015	-38.121318622800004	2.0597953431761193	2.0597953432049674
9	90.0	0.2721780392094102	0	0.	0	0.	0	47.17290377799998	47.17290378199999	1.1082224940957084	1.1082224941029442
10	100.0	0.26315478256342995	0	0.	0	0.	0	146.81618227700002	146.81618227500002	4.659741413869781	4.659741413864926
11	110.0	0.2631240730130401	0	0.	0	0.	0	-177.5252022572	-177.52520225720002	2.3203489287224306	2.320348928731386
12	120.0	0.30968609822236937	0	0.	0	0.	0	-45.60190700940001	-45.60190701009998	3.467295154685703	3.467295154714101
13	130.0	0.328377025917449	0	0.	0	0.	0	-4.255213841	-4.255213838200007	1.2807640741986475	1.2807640741679118
14	140.0	0.46339994651368427	0	0.	0	0.	0	-78.58020887699999	-78.58020887800001	11.289302074120934	11.289302074166685
15	150.0	0.4816224018951007	0	0.	0	0.	0	-53.638517672000006	-53.638517672999996	7.201467576568715	7.201467576593072
16	160.0	0.4804955712392002	0	0.	0	0.	0	-25.720815862999984	-25.720815862999984	10.101169093188554	10.101169093157218
17	170.0	0.4724626555276975	0	0.	0	0.	0	-19.411659765600007	-19.41165976580004	6.352936247002196	6.352936247001966
18	180.0	0.4287963043709061	0	0.	0	0.	0	-25.99648358600001	-25.996483585500016	13.015854150774118	13.015854150783808
19	190.0	0.43761759157517444	0	0.	0	0.	0	1.8486616394000066	1.8486616401000333	4.478440669961387	4.47844066996489
20	200.0	0.46356730968731225	0	0.	0	0.	0	50.02749045300004	50.027490450000016	1.8745196983539187	1.8745196983140533
21	210.0	0.5221880358442481	0	0.	0	0.	0	68.47705286799999	68.47705286909999	4.977812347225005	4.977812347286952
22	220.0	0.5788741088153061	0	0.	0	0.	0	15.5948197978	15.594819798200007	5.88307265695577	5.883072656937153
23	230.0	0.6336509230471541	0	0.	0	0.	0	13.741065826099998	13.741065825899994	6.9225762482200865	6.922576248214809
24	240.0	0.6595750318124541	0	0.	0	0.	0	4.87072367830001	4.870723678099978	3.379951013227869	3.379951013222366
25	250.0	0.6513912606057644	0	0.	0	0.	0	88.89337637399998	88.89337637	0.78981451610909	0.7898145161040139
26	260.0	0.6257626347007832	0	0.	0	0.	0	-30.153140543999996	-30.153140541000027	6.219671168925068	6.219671168918609
27	270.0	0.639789846035398	0	0.	0	0.	0	-84.17042839179999	-84.1704283921	1.1034783028377004	1.1034783028482702
28	280.0	0.6954296567181941	0	0.	0	0.	0	-19.33131677587602	-19.33131677654302	4.285368490939332	4.285368490881701
29	290.0	0.7477464465757981	0	0.	0	0.	0	-13.720499141000005	-13.720499139999987	4.447475769976013	4.447475770052548
30	300.0	0.755629222133476	0	0.	0	0.	0	24.271534332499982	24.27153433250001	0.6993831008652412	0.699383100844917
31	310.0	0.8199165854265309	0	0.	0	0.	0	-11.902419561000016	-11.902419562000006	5.996101549380524	5.996101549391728
32	320.0	0.9037373980461205	0	0.	0	0.	0	-2.578307617000007	-2.578307616000018	9.587714297567688	9.587714297573607
33	330.0	0.9283097929733221	0	0.	0	0.	0	40.30036702209998	40.300367021800014	4.414819351177746	4.414819351162788
34	340.0	0.9380411617826456	0	0.	0	0.	0	38.101839361900005	38.101839361900005	5.513897643095102	5.513897643116485
35	370.0	0.89962515680127	0	0.	0	0.	0	155.676977057	155.676977057	8.677286890892569	8.6772868909099
36	400.0	0.9994627988900867	0	0.	0	0.	0	97.22320627260001	97.22320627269994	27.55491002510257	27.554910025106444
37	410.0	0.9855053154384608	0	0.	0	0.	0	-177.980909495	-177.980909496	8.799845232370853	8.799845232373597
38	420.0	0.9654164395471175	0	0.	0	0.	0	-22.570469969999976	-22.570469970000033	8.27457092575121	8.274570925720138
39	430.0	0.9467643410856256	0	0.	0	0.	0	-21.847469229000012	-21.847469228000023	13.531329200399284	13.531329200427152
40	440.0	0.9232481244644023	0	0.	0	0.	0	5.649061976999974	5.6490619759999845	13.033921559811475	13.033921559782256
41	470.0	0.9700011991344776	0	0.	0	0.	0	-78.25041901409998	-78.25041901449998	9.451104599930273	9.451104600005623
42	480.0	0.9761525083482451	0	0.	0	0.	0	48.991471442399984	48.99147144199998	5.3407706758150555	5.340770675768858
43	490.0	0.9939144594204117	0	0.	0	0.	0	-25.65192385710003	-25.651923857300005	9.023925554078616	9.023925554114426
44	500.0	0.9989718826409759	0	0.	0	0.	0	-19.60210471299999	-19.602104713100005	4.1565942079477285	4.1565942079351785
45	510.0	0.9999997416370271	0	0.	0	0.	0	-2.4043910364999874	-2.4043910361999963	2.8855183078347197	2.885518307828149
46	530.0	0.9755793783251804	0	0.	0	0.	0	31.88166404240002	31.881664042500006	22.86978890305212	22.869788903062137
