00_no	01_tstop	10_spa_pol_dif	11_spa_pol_tes	20_ang_seg_dif	21_ang_seg_tes	30_len_seg_dif	31_len_seg_tes	22_course_seg1	23_course_seg2	32_len_seg1	33_len_seg2
0	0.0	1.0396227994386622	0	nan	nan	nan	nan	nan	nan	nan	nan
1	10.0	1.0488625212936158	0	nan	nan	0.	0	273.743775125	264.790617256	0.5238885648671224	0.5238885648678182
2	20.0	1.9393525553618387	0	0.	0	0.	0	139.00062497750002	139.0006249707	4.4390170905897985	4.4390170905311175
3	30.0	2.1865918766361587	0	0.	0	0.	0	44.63274003309999	44.632740031	2.1924434711123775	2.1924434711361553
4	40.0	2.498436226450706	0	0.	0	0.	0	-76.27212559900002	-76.27212559899999	1.2697772061265127	1.2697772061127341
5	50.0	3.910263512993224	0	0.	0	0.	0	48.33596726459999	48.3359672647	6.10989037717161	6.109890377193186
6	60.0	4.328256225832973	0	0.	0	0.	0	28.536529299199998	28.536529298400012	2.361571050429561	2.361571050445616
7	70.0	3.9743190092603133	0	0.	0	0.	0	77.79573930800001	77.79573930999999	3.3378718721186993	3.337871872124162
8	80.0	4.167599571724507	0	0.	0	0.	0	-38.121318621800015	-38.121318622100006	2.0597953431761193	2.059795343190101
9	90.0	4.071926045190541	0	0.	0	0.	0	47.17290377799998	47.17290377699999	1.1082224940957084	1.1082224940881438
10	100.0	3.936879591699778	0	0.	0	0.	0	146.81618227700002	146.81618227900003	4.659741413869781	4.659741413859444
11	110.0	3.936419986830881	0	0.	0	0.	0	-177.5252022572	-177.5252022567	2.3203489287224306	2.320348928697763
12	120.0	4.6333524101195875	0	0.	0	0.	0	-45.60190700940001	-45.60190700999999	3.467295154685703	3.4672951546851767
13	130.0	4.913161598305225	0	0.	0	0.	0	-4.255213841	-4.255213841200003	1.2807640741986475	1.2807640741909636
14	140.0	6.935468116848475	0	0.	0	0.	0	-78.58020887699999	-78.58020887599997	11.289302074120934	11.289302074117328
15	150.0	7.208546105808258	0	0.	0	0.	0	-53.638517672000006	-53.638517672000006	7.201467576568715	7.201467576563133
16	160.0	7.191658483745485	0	0.	0	0.	0	-25.720815862999984	-25.720815863999974	10.101169093188554	10.101169093169476
17	170.0	7.071275016139118	0	0.	0	0.	0	-19.411659765600007	-19.41165976459999	6.352936247002196	6.352936247020591
18	180.0	6.417011772172542	0	0.	0	0.	0	-25.99648358600001	-25.996483587	13.015854150774118	13.015854150786094
19	190.0	6.549165709816591	1	0.	0	0.	0	1.8486616394000066	1.8486616394999942	4.478440669961387	4.478440669962935
20	200.0	6.937976006331825	1	0.	0	0.	0	50.02749045300004	50.027490452999984	1.8745196983539187	1.8745196983599468
21	210.0	7.816603254391423	1	0.	0	0.	0	68.47705286799999	68.4770528672	4.977812347225005	4.977812347258435
22	220.0	8.666668730469732	1	0.	0	0.	0	15.5948197978	15.594819797900016	5.88307265695577	5.883072656935848
23	230.0	9.488554631949583	1	0.	0	0.	0	13.741065826099998	13.741065825699991	6.9225762482200865	6.922576248262889
24	240.0	9.877694131287862	1	0.	0	0.	0	4.87072367830001	4.87072367799999	3.379951013227869	3.3799510132361767
25	250.0	9.754837777900644	0	0.	0	0.	0	88.89337637399998	88.89337637899999	0.78981451610909	0.7898145161427773
26	260.0	9.370167625768268	1	0.	0	0.	0	-30.153140543999996	-30.15314054999999	6.219671168925068	6.219671168940274
27	270.0	9.580694242807253	1	0.	0	0.	0	-84.17042839179999	-84.17042839000004	1.1034783028377004	1.103478302777254
28	280.0	10.416086181783385	1	0.	0	0.	0	-19.33131677587602	-19.331316777999973	4.285368490939332	4.28536849096087
29	290.0	11.202088984939461	1	0.	0	0.	0	-13.720499141000005	-13.720499138999998	4.447475769976013	4.447475770012763
30	300.0	11.32056383649692	1	0.	0	0.	0	24.271534332499982	24.271534329100007	0.6993831008652412	0.6993831008610721
31	310.0	12.287239138353737	1	0.	0	0.	0	-11.902419561000016	-11.902419557999991	5.996101549380524	5.996101549321333
32	320.0	13.548959300694138	0	0.	0	0.	0	-2.578307617000007	-2.578307617000007	9.587714297567688	9.587714297606222
33	330.0	13.919142178022101	1	0.	0	0.	0	40.30036702209998	40.30036702250001	4.414819351177746	4.414819351190638
34	340.0	14.065785116029495	1	0.	0	0.	0	38.101839361900005	38.101839362199996	5.513897643095102	5.513897643103906
35	370.0	13.487022346934397	1	0.	0	0.	0	155.676977057	155.676977057	8.677286890892569	8.677286890941815
36	400.0	14.99189588513085	1	0.	0	0.	0	97.22320627260001	97.22320627279998	27.55491002510257	27.554910025146953
37	410.0	14.781362105829695	0	0.	0	0.	0	-177.980909495	-177.98090949500002	8.799845232370853	8.79984523241763
38	420.0	14.47843027651264	0	0.	0	0.	0	-22.570469969999976	-22.570469970999966	8.27457092575121	8.274570925793686
39	430.0	14.19725513605369	0	0.	0	0.	0	-21.847469229000012	-21.847469227999994	13.531329200399284	13.531329200388736
40	440.0	13.842876436482486	1	0.	0	0.	0	5.649061976999974	5.649061977000002	13.033921559811475	13.033921559732077
41	470.0	14.547557533441946	1	0.	0	0.	0	-78.25041901409998	-78.25041901320003	9.451104599930273	9.451104599878947
42	480.0	14.640312959195365	0	0.	0	0.	0	48.991471442399984	48.99147144149998	5.3407706758150555	5.340770675783141
43	490.0	14.908199062348164	1	0.	0	0.	0	-25.65192385710003	-25.651923857300005	9.023925554078616	9.023925554092445
44	500.0	14.98449008017267	1	0.	0	0.	0	-19.60210471299999	-19.602104712500022	4.1565942079477285	4.1565942079495715
45	510.0	14.999996102405317	0	0.	0	0.	0	-2.4043910364999874	-2.4043910361000087	2.8855183078347197	2.885518307833077
