00_no	01_tstop	10_spa_pol_dif	11_spa_pol_tes	20_ang_seg_dif	21_ang_seg_tes	30_len_seg_dif	31_len_seg_tes	22_course_seg1	23_course_seg2	32_len_seg1	33_len_seg2
0	0.0	3.048337524892148	0	nan	nan	nan	nan	nan	nan	nan	nan
1	10.0	3.075435566736447	0	nan	nan	0.	0	273.743775125	251.624883576	0.5238885648671224	0.5238885648866021
2	20.0	5.6879579579765975	0	0.	0	0.	0	139.00062497750002	139.0006249855	4.4390170905897985	4.439017090566704
3	30.0	6.413722136661157	1	0.	0	0.	0	44.63274003309999	44.632740032399994	2.1924434711123775	2.1924434711005714
4	40.0	7.329460598076736	1	0.	0	0.	0	-76.27212559900002	-76.27212559899999	1.2697772061265127	1.2697772061365598
5	50.0	11.481287633763639	1	0.	0	0.	0	48.33596726459999	48.33596726320002	6.10989037717161	6.109890377219841
6	60.0	12.712849877468846	1	0.	0	0.	0	28.536529299199998	28.536529299899996	2.361571050429561	2.3615710504073313
7	70.0	11.669939449301262	1	0.	0	0.	0	77.79573930800001	77.79573930800001	3.3378718721186993	3.337871872117279
8	80.0	12.23934811264478	1	0.	0	0.	0	-38.121318621800015	-38.12131862169997	2.0597953431761193	2.0597953431688634
9	90.0	11.95745909699206	1	0.	0	0.	0	47.17290377799998	47.17290377400002	1.1082224940957084	1.1082224940690681
10	100.0	11.559672086705124	0	0.	0	0.	0	146.81618227700002	146.81618228	4.659741413869781	4.6597414138790985
11	110.0	11.558318508025613	1	0.	0	0.	0	-177.5252022572	-177.5252022555	2.3203489287224306	2.320348928698077
12	120.0	13.612594128718394	1	0.	0	0.	0	-45.60190700940001	-45.60190701189998	3.467295154685703	3.4672951547720547
13	130.0	14.438421142665593	1	0.	0	0.	0	-4.255213841	-4.2552138401999855	1.2807640741986475	1.2807640741955169
14	140.0	20.42940075875497	1	0.	0	0.	0	-78.58020887699999	-78.58020887599997	11.289302074120934	11.289302074105013
15	150.0	21.24189596807686	1	0.	0	0.	0	-53.638517672000006	-53.63851767199998	7.201467576568715	7.2014675766032195
16	160.0	21.19162241476127	1	0.	0	0.	0	-25.720815862999984	-25.720815863999974	10.101169093188554	10.101169093195663
17	170.0	20.833352710900698	1	0.	0	0.	0	-19.411659765600007	-19.411659765600007	6.352936247002196	6.352936247001046
18	180.0	18.88932363232859	1	0.	0	0.	0	-25.99648358600001	-25.996483586500005	13.015854150774118	13.015854150776972
19	190.0	19.281587675190394	1	0.	0	0.	0	1.8486616394000066	1.8486616391999746	4.478440669961387	4.478440669967497
20	200.0	20.43685829489168	1	0.	0	0.	0	50.02749045300004	50.027490451999995	1.8745196983539187	1.8745196983510017
21	210.0	23.054568817346848	1	0.	0	0.	0	68.47705286799999	68.4770528692	4.977812347225005	4.97781234727163
22	220.0	25.59752083283726	1	0.	0	0.	0	15.5948197978	15.594819797000014	5.88307265695577	5.883072656965079
23	230.0	28.067044919786753	1	0.	0	0.	0	13.741065826099998	13.741065827299991	6.9225762482200865	6.922576248197234
24	240.0	29.240368297294697	1	0.	0	0.	0	4.87072367830001	4.870723676400019	3.379951013227869	3.379951013198306
25	250.0	28.8696391435485	1	0.	0	0.	0	88.89337637399998	88.893376373	0.78981451610909	0.7898145160823247
26	260.0	27.710622305917166	1	0.	0	0.	0	-30.153140543999996	-30.153140543999996	6.219671168925068	6.219671168978614
27	270.0	28.344616187156408	1	0.	0	0.	0	-84.17042839179999	-84.1704283926	1.1034783028377004	1.1034783028783282
28	280.0	30.868353762504412	1	0.	0	0.	0	-19.33131677587602	-19.331316775000005	4.285368490939332	4.285368490907921
